Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes
Ben-Hur,1959,U,212 min,"Adventure, Drama, History",8.1,219466
Kakushi-toride no san-akunin,1958,,139 min,"Adventure, Drama",8.1,34797
Le notti di Cabiria,1957,,110 min,Drama,8.1,42940
Kumonosu-jô,1957,,110 min,"Drama, History",8.1,46678
The Bridge on the River Kwai,1957,PG,161 min,"Adventure, Drama, War",8.1,203463
On the Waterfront,1954,A,108 min,"Crime, Drama, Thriller",8.1,142107
Le salaire de la peur,1953,U,131 min,"Adventure, Drama, Thriller",8.1,54588
Ace in the Hole,1951,Approved,111 min,"Drama, Film-Noir",8.1,31568
White Heat,1949,,114 min,"Action, Crime, Drama",8.1,29807
The Third Man,1949,Approved,104 min,"Film-Noir, Mystery, Thriller",8.1,158731
The Red Shoes,1948,,135 min,"Drama, Music, Romance",8.1,30935
The Shop Around the Corner,1940,,99 min,"Comedy, Drama, Romance",8.1,28450
Rebecca,1940,Approved,130 min,"Drama, Mystery, Romance",8.1,123942
Mr. Smith Goes to Washington,1939,Passed,129 min,"Comedy, Drama",8.1,107017
Gone with the Wind,1939,U,238 min,"Drama, History, Romance",8.1,290074
La Grande Illusion,1937,,113 min,"Drama, War",8.1,33829
It Happened One Night,1934,Approved,105 min,"Comedy, Romance",8.1,94016
La passion de Jeanne d'Arc,1928,Passed,110 min,"Biography, Drama, History",8.1,47676
The Circus,1928,Passed,72 min,"Comedy, Romance",8.1,30205
Sunrise: A Song of Two Humans,1927,Passed,94 min,"Drama, Romance",8.1,46865
The General,1926,Passed,67 min,"Action, Adventure, Comedy",8.1,81156
Das Cabinet des Dr. Caligari,1920,,76 min,"Fantasy, Horror, Mystery",8.1,57428
Badhaai ho,2018,UA,124 min,"Comedy, Drama",8,27978
Togo,2019,U,113 min,"Adventure, Biography, Drama",8,37556
Airlift,2016,UA,130 min,"Drama, History",8,52897
Bajrangi Bhaijaan,2015,UA,163 min,"Action, Adventure, Comedy",8,72245
Baby,2015,UA,159 min,"Action, Crime, Thriller",8,52848
La La Land,2016,A,128 min,"Comedy, Drama, Music",8,505918
Lion,2016,U,118 min,"Biography, Drama",8,213970
The Martian,2015,UA,144 min,"Adventure, Drama, Sci-Fi",8,760094
Zootopia,2016,U,108 min,"Animation, Adventure, Comedy",8,434143
Bãhubali: The Beginning,2015,UA,159 min,"Action, Drama",8,102972
Kaguyahime no monogatari,2013,U,137 min,"Animation, Adventure, Drama",8,38746
Wonder,2017,U,113 min,"Drama, Family",8,141923
Gully Boy,2019,UA,154 min,"Drama, Music, Romance",8,31886
Special Chabbis,2013,UA,144 min,"Crime, Drama, Thriller",8,51069
Short Term 12,2013,R,96 min,Drama,8,81770
Serbuan maut 2: Berandal,2014,A,150 min,"Action, Crime, Thriller",8,114316
The Imitation Game,2014,UA,114 min,"Biography, Drama, Thriller",8,685201
Guardians of the Galaxy,2014,UA,121 min,"Action, Adventure, Comedy",8,1043455
Blade Runner 2049,2017,UA,164 min,"Action, Drama, Mystery",8,461823
Her,2013,A,126 min,"Drama, Romance, Sci-Fi",8,540772
Bohemian Rhapsody,2018,UA,134 min,"Biography, Drama, Music",8,450349
The Revenant,2015,A,156 min,"Action, Adventure, Drama",8,705589
The Perks of Being a Wallflower,2012,UA,103 min,"Drama, Romance",8,462252
Tropa de Elite 2: O Inimigo Agora é Outro,2010,,115 min,"Action, Crime, Drama",8,79200
The King's Speech,2010,U,118 min,"Biography, Drama, History",8,639603
The Help,2011,UA,146 min,Drama,8,428521
Deadpool,2016,R,108 min,"Action, Adventure, Comedy",8,902669
Darbareye Elly,2009,TV-PG,119 min,"Drama, Mystery",8,45803
Dev.D,2009,A,144 min,"Drama, Romance",8,28749
Yip Man,2008,R,106 min,"Action, Biography, Drama",8,211427
My Name Is Khan,2010,UA,165 min,Drama,8,98575
Nefes: Vatan Sagolsun,2009,,128 min,"Action, Drama, Thriller",8,31838
Slumdog Millionaire,2008,UA,120 min,"Drama, Romance",8,798882
Black Swan,2010,A,108 min,"Drama, Thriller",8,699673
Tropa de Elite,2007,R,115 min,"Action, Crime, Drama",8,98097
The Avengers,2012,UA,143 min,"Action, Adventure, Sci-Fi",8,1260806
Persepolis,2007,PG-13,96 min,"Animation, Biography, Drama",8,88656
Dallas Buyers Club,2013,R,117 min,"Biography, Drama",8,441614
The Pursuit of Happyness,2006,U,117 min,"Biography, Drama",8,448930
Blood Diamond,2006,A,143 min,"Adventure, Drama, Thriller",8,499439
The Bourne Ultimatum,2007,UA,115 min,"Action, Mystery, Thriller",8,604694
Bin-jip,2004,U,88 min,"Crime, Drama, Romance",8,50610
Sin City,2005,A,124 min,"Crime, Thriller",8,738512
Le scaphandre et le papillon,2007,PG-13,112 min,"Biography, Drama",8,103284
G.O.R.A.,2004,,127 min,"Adventure, Comedy, Sci-Fi",8,56960
Ratatouille,2007,U,111 min,"Animation, Adventure, Comedy",8,641645
Casino Royale,2006,PG-13,144 min,"Action, Adventure, Thriller",8,582239
Kill Bill: Vol. 2,2004,A,137 min,"Action, Crime, Thriller",8,683900
Vozvrashchenie,2003,,110 min,Drama,8,42399
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103 min,"Drama, Romance",8,77520
Mar adentro,2014,U,126 min,"Biography, Drama",8,77554
Cinderella Man,2005,UA,144 min,"Biography, Drama, History",8,176151
Kal Ho Naa Ho,2003,U,186 min,"Comedy, Drama, Musical",8,63460
Mou gaan dou,2002,UA,101 min,"Action, Crime, Drama",8,117857
Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143 min,"Action, Adventure, Fantasy",8,1015122
Big Fish,2003,U,125 min,"Adventure, Drama, Fantasy",8,415218
The Incredibles,2004,U,115 min,"Animation, Action, Adventure",8,657047
Yeopgijeogin geunyeo,2001,,137 min,"Comedy, Drama, Romance",8,45403
Dogville,2003,R,178 min,"Crime, Drama",8,137963
Vizontele,2001,,110 min,"Comedy, Drama",8,33592
Donnie Darko,2001,R,113 min,"Drama, Mystery, Sci-Fi",8,740086
Magnolia,1999,R,188 min,Drama,8,289742
Dancer in the Dark,2000,U,140 min,"Crime, Drama, Musical",8,102285
The Straight Story,1999,U,112 min,"Biography, Drama",8,82002
Pâfekuto burû,1997,A,81 min,"Animation, Crime, Mystery",8,58192
Festen,1998,R,105 min,Drama,8,78341
Central do Brasil,1998,R,110 min,Drama,8,36419
